ID,Name,Email,Bonus,Report,App,Theory
18424005,Đặng Văn Thường,dvthuong@gmail.com,0,0,0,4.5
18424013,Nguyễn Ngọc Châu,nnchau@outlook.com,2,8,8,5.5
18424006,Ngô Kinh,nk@gmail.com,0,1,2,4.5
18424014,Lý Văn A,nnchau@outlook.com,2,7,8,7.5
18424016,Lê Lợi,ll@gmail.com,0,5,4,4.5
18424011,Nguyễn Ngọc An,nnchau@outlook.com,1,8,2,3.5
18424007,Đặng Văn Lâm,dvthuong@gmail.com,2,2,2,4.5
18425467,Nguyễn Bảo Châu,nnchau@outlook.com,2,8,8,2.5
18428585,Phan Văn Tín,dvthuong@gmail.com,0,9,9,4.5
18421245,Nguyễn Vũ,nnv@outlook.com,9,8,3,4.5
18427578,Đặng Văn Thường,dvthuong@gmail.com,2,8,9,9
18423463,Nguyễn Ngọc Minh,nnchau@outlook.com,2,2,3,1.5
